character_description,label
"plans carefully, listens more than speaks, strategic, methodical, studious; in the library",0
"reserved, strategic, reflective, methodical; ""I notice the small details""; while exploring caves",0
"analytical, reserved, cautious; during the journey",0
"cautious, analytical, observant; during winter",0
"introverted, quiet, listens more than speaks, reserved, analytical; at the market",0
"quiet, methodical, strategic, analytical, listens more than speaks; ""Let me think first""; while exploring caves",0
"quiet, logical approach, analytical, observant; ""I notice the small details""; at the market",0
"studious, reflective, reserved; on the ship",0
"analytical, reflective, cautious; ""I notice the small details""; on the ship",0
"plans carefully, analytical, listens more than speaks; while exploring caves",0
"studious, logical approach, plans carefully, methodical; during winter",0
"strategic, cautious, listens more than speaks, reserved, quiet; during the journey",0
"logical approach, reflective, strategic, observant, studious; ""Let me think first""; in the forest",0
"reflective, quiet, studious, logical approach, methodical; ""I notice the small details""; in the city",0
"thoughtful, introverted, methodical; in the city",0
"plans carefully, cautious, introverted; ""I notice the small details""; in the forest",0
"observant, quiet, studious, introverted; during winter",0
"studious, strategic, plans carefully, reserved; ""I need a plan""; in the forest",0
"quiet, thoughtful, observant, cautious; ""I notice the small details""; in the forest",0
"logical approach, observant, thoughtful, methodical, reserved; at the market",0
"cautious, methodical, observant, quiet, thoughtful; during the journey",0
"studious, introverted, reflective, plans carefully, strategic; ""Let me think first""; in the library",0
"cautious, reserved, studious, listens more than speaks, plans carefully; on the battlefield",0
"quiet, logical approach, reflective, listens more than speaks; on the ship",0
"methodical, studious, strategic, introverted, listens more than speaks; on the ship",0
"cautious, studious, quiet, listens more than speaks, logical approach; ""Let me think first""; at the market",0
"reserved, quiet, observant; during the journey",0
"methodical, studious, thoughtful; ""I need a plan""; on the battlefield",0
"analytical, studious, observant, logical approach; in the library",0
"cautious, plans carefully, observant; ""Let me think first""; in the city",0
"analytical, reflective, logical approach, plans carefully; ""I notice the small details""; on the ship",0
"logical approach, reserved, plans carefully, quiet, thoughtful; in the forest",0
"methodical, listens more than speaks, analytical, introverted; ""Let me think first""; on the ship",0
"thoughtful, cautious, analytical, reflective, listens more than speaks; at the market",0
"reflective, quiet, methodical, thoughtful; at dawn",0
"listens more than speaks, analytical, strategic; in the city",0
"analytical, methodical, plans carefully; ""Let me think first""; on the ship",0
"studious, strategic, plans carefully, listens more than speaks; while exploring caves",0
"studious, methodical, cautious, plans carefully; ""Let me think first""; during the journey",0
"studious, analytical, quiet, cautious, introverted; during winter",0
"cautious, listens more than speaks, plans carefully; ""Let me think first""; on the battlefield",0
"introverted, reserved, strategic, cautious, thoughtful; at dawn",0
"reserved, listens more than speaks, strategic, studious, quiet; in the city",0
"cautious, studious, logical approach, plans carefully, methodical; ""I notice the small details""; in the city",0
"quiet, plans carefully, observant; in the library",0
"plans carefully, listens more than speaks, quiet, methodical; ""I need a plan""; in the library",0
"listens more than speaks, logical approach, quiet; ""I need a plan""; on the ship",0
"strategic, analytical, quiet, thoughtful, plans carefully; ""I need a plan""; during winter",0
"analytical, cautious, studious; ""I need a plan""; while exploring caves",0
"quiet, introverted, methodical; ""I notice the small details""; in the city",0
"studious, reserved, plans carefully, observant, logical approach; ""Let me think first""; during winter",0
"strategic, observant, reserved; ""I notice the small details""; while exploring caves",0
"analytical, introverted, listens more than speaks, thoughtful; ""I notice the small details""; during winter",0
"quiet, logical approach, introverted; on the battlefield",0
"studious, strategic, reserved, analytical, introverted; on the ship",0
"observant, strategic, thoughtful; ""Let me think first""; in the forest",0
"cautious, introverted, reserved, observant; ""Let me think first""; in the library",0
"methodical, introverted, analytical, reserved; ""I notice the small details""; while exploring caves",0
"methodical, studious, introverted, analytical; ""I need a plan""; in the library",0
"plans carefully, analytical, reflective, introverted, logical approach; on the battlefield",0
